time_s,state,pir_val,temp_c,humidity,relay_fan,relay_led,relay_buzzer,relay_motor,cpu_temp_c,cpu_percent
122,ACTUATOR_CONTROL,0,28.1,60.6,1,1,0,0,43.8,3.3
123,ACTUATOR_CONTROL,0,28.2,60.7,1,1,0,0,44.8,2.8
124,ACTUATOR_CONTROL,0,28.2,60.6,1,1,0,0,44.8,2.7
125,ACTUATOR_CONTROL,0,28.1,60.7,1,1,0,0,43.3,3.2
126,ACTUATOR_CONTROL,0,28.2,60.6,1,1,0,0,44.3,2.7
127,ACTUATOR_CONTROL,0,28.2,60.7,1,1,0,0,43.8,2.8
128,ACTUATOR_CONTROL,0,28.2,60.7,1,1,0,0,44.3,3.1
129,ACTUATOR_CONTROL,0,28.2,60.6,1,1,0,0,44.8,2.9
130,ACTUATOR_CONTROL,0,28.2,60.6,1,1,0,0,44.8,3.1
131,ACTUATOR_CONTROL,0,28.2,60.7,1,1,0,0,43.8,3.0
132,ACTUATOR_CONTROL,0,28.2,60.6,1,1,0,0,43.8,2.9
133,ACTUATOR_CONTROL,0,28.2,60.7,1,1,0,0,44.8,3.0
134,ACTUATOR_CONTROL,0,28.2,60.7,1,1,0,0,43.3,3.4
135,ACTUATOR_CONTROL,0,28.2,60.6,1,1,0,0,43.8,3.0
136,ACTUATOR_CONTROL,0,28.2,60.6,1,1,0,0,44.8,2.9
137,ACTUATOR_CONTROL,0,28.2,60.7,1,1,0,0,43.3,3.2
138,ACTUATOR_CONTROL,0,28.2,60.7,1,1,0,0,43.8,3.1
139,ACTUATOR_CONTROL,0,28.2,60.6,1,1,0,0,44.3,3.1
140,ACTUATOR_CONTROL,0,28.2,60.7,1,1,0,0,43.8,3.3
141,ACTUATOR_CONTROL,0,28.2,60.7,1,1,0,0,44.8,3.1
142,ACTUATOR_CONTROL,0,28.2,60.7,1,1,0,0,44.3,3.1
143,ACTUATOR_CONTROL,0,28.2,60.7,1,1,0,0,42.8,3.2
144,ACTUATOR_CONTROL,0,28.2,60.7,1,1,0,0,44.8,2.7
145,ACTUATOR_CONTROL,0,28.2,60.8,1,1,0,0,44.3,2.8
146,ACTUATOR_CONTROL,0,28.2,60.7,1,1,0,0,44.3,3.3
147,ACTUATOR_CONTROL,0,28.2,60.8,1,1,0,0,44.3,2.8
148,ACTUATOR_CONTROL,0,28.2,60.7,1,1,0,0,44.8,2.9
149,ACTUATOR_CONTROL,0,28.2,60.8,1,1,0,0,43.8,3.5
150,ACTUATOR_CONTROL,0,28.2,60.8,1,1,0,0,44.8,2.8
151,ACTUATOR_CONTROL,0,28.3,60.7,1,1,0,0,44.3,2.9
152,ACTUATOR_CONTROL,0,28.2,60.7,1,1,0,0,44.8,3.1
153,ACTUATOR_CONTROL,0,28.2,60.8,1,1,0,0,45.3,2.9
154,ACTUATOR_CONTROL,0,28.2,60.7,1,1,0,0,44.3,2.8
155,ACTUATOR_CONTROL,0,28.2,60.8,1,1,0,0,43.8,3.2
156,ACTUATOR_CONTROL,0,28.2,60.8,1,1,0,0,43.8,2.9
157,ACTUATOR_CONTROL,0,28.3,60.7,1,1,0,0,43.8,2.9
158,ACTUATOR_CONTROL,0,28.3,60.7,1,1,0,0,44.8,3.2
159,ACTUATOR_CONTROL,0,28.2,60.7,1,1,0,0,44.3,3.0
160,ALL_ON,0,28.2,60.7,1,1,0,0,44.3,3.0
161,ALL_ON,0,28.2,60.7,1,1,0,0,44.8,3.3
162,ALL_ON,0,28.2,60.7,1,1,0,0,45.8,2.9
163,ALL_ON,0,28.2,60.7,1,1,0,0,44.8,2.9
164,ALL_ON,0,28.2,60.7,1,1,0,0,44.8,3.2
165,ALL_ON,0,28.3,60.7,1,1,0,0,43.8,3.1
166,ALL_ON,0,28.2,60.6,1,1,0,0,45.8,3.3
167,ALL_ON,0,28.2,60.6,1,1,0,0,44.8,3.2
168,ALL_ON,0,28.2,60.6,1,1,0,0,44.8,2.8
169,ALL_ON,0,28.2,60.7,1,1,0,0,44.8,3.1
170,ALL_ON,0,28.3,60.6,1,1,0,0,44.8,3.3
171,ALL_ON,0,28.2,60.6,1,1,0,0,44.8,3.3
172,ALL_ON,0,28.2,60.6,1,1,0,0,44.3,3.4
173,ALL_ON,0,28.2,60.6,1,1,0,0,45.3,3.1
174,ALL_ON,0,28.3,60.7,1,1,0,0,44.8,3.4
175,ALL_ON,0,28.2,60.6,1,1,0,0,44.8,3.4
176,ALL_ON,0,28.3,60.7,1,1,0,0,45.3,4.2
177,ALL_ON,0,28.2,60.6,1,1,0,0,44.3,3.1
178,ALL_ON,0,28.3,60.6,1,1,0,0,44.8,3.1
179,ALL_ON,0,28.3,60.6,1,1,0,0,44.3,3.1
